name	occurrences	predicted	true	note
av_free_packet	27	MEMORY_FREE	MEMORY_FREE	frees packet-owned buffers
qapi_free_AltStrBool	2	MEMORY_FREE	MEMORY_FREE	generated deallocator
scsi_req_free	1	MEMORY_FREE	MEMORY_FREE	frees a request object
guest_phys_blocks_free	1	MEMORY_FREE	MEMORY_FREE	frees a list's memory
ff_nut_free_sp	1	MEMORY_FREE	MEMORY_FREE	frees syncpoint storage
g_ptr_array_new_with_free_func	4	MEMORY_FREE	MEMORY_ALLOC	allocates an array; the free_func is a callback
v9fs_string_free	10	MEMORY_FREE	MEMORY_FREE	frees a caller-owned string struct
tcg_temp_free_internal	3	MEMORY_FREE	MEMORY_FREE	releases an IR temporary
qapi_free_MemoryDeviceInfoList	1	MEMORY_FREE	MEMORY_FREE	generated deallocator
error_free	18	MEMORY_FREE	MEMORY_FREE	frees a caller-owned Error object
frame_thread_free	1	MEMORY_FREE	MEMORY_FREE	frees per-thread frame state
av_realloc	29	MEMORY_REALLOC	MEMORY_REALLOC	
realloc	6	MEMORY_REALLOC	MEMORY_REALLOC	
g_realloc	5	MEMORY_REALLOC	MEMORY_REALLOC	
av_fast_realloc	4	MEMORY_REALLOC	MEMORY_REALLOC	
av_buffer_realloc	2	MEMORY_REALLOC	MEMORY_REALLOC	resizes a buffer
av_realloc_array	2	MEMORY_REALLOC	MEMORY_REALLOC	resizes an array allocation
swri_realloc_audio	2	MEMORY_REALLOC	MEMORY_REALLOC	resizes an audio buffer
realloc_texture	1	MEMORY_REALLOC	MEMORY_REALLOC	resizes a texture allocation
av_audio_fifo_realloc	1	MEMORY_REALLOC	MEMORY_REALLOC	resizes a FIFO
qemu_realloc	1	MEMORY_REALLOC	MEMORY_REALLOC	
memset	244	MEMORY_SET	MEMORY_SET	
qemu_iovec_memset	2	MEMORY_SET	MEMORY_SET	
tcg_out_sxt	3	NONE	NONE	
append_option_parameters	4	NONE	NONE	
path_combine	3	NONE	NONE	
vnc_client_error	14	NONE	NONE	
pci_vga_init	5	NONE	NONE	
pxa2xx_i2s_init	1	NONE	NONE	
drive_get_by_blockdev	4	NONE	NONE	
cpu_exit	4	NONE	NONE	
bytestream2_get_be16	7	NONE	NONE	
monitor_resume	1	NONE	NONE	
cpu_breakpoint_remove	1	NONE	NONE	
avcodec_find_encoder	10	NONE	NONE	
qemu_set_fd_handler	11	NONE	NONE	
gen_logic_imm	3	NONE	NONE	
envlist_unsetenv	1	NONE	NONE	
gen_op_mfc0_mvpconf1	1	NONE	NONE	
tcg_gen_qemu_ld_i32	9	NONE	NONE	
gen_helper_aaa	3	NONE	NONE	
reset_on_second_timeout	1	NONE	NONE	
SPAPR_CPU_CORE	3	NONE	NONE	
__msa_asub_u_b	8	NONE	NONE	
denoise_spatial	1	NONE	NONE	
tpm_tis_prep_abort	3	NONE	NONE	
glDrawPixels	1	NONE	NONE	
vreader_get_id	5	NONE	NONE	
GROW_ARRAY	1	NONE	NONE	
virtio_scsi_handle_cmd_req_submit	1	NONE	NONE	
qemu_in_coroutine	3	NONE	NONE	
mov_write_source_reference_tag	1	NONE	NONE	
qdev_init	10	NONE	NONE	
av_mul_q	2	NONE	NONE	
AVC_LOOP_FILTER_P0Q0	3	NONE	NONE	
virtio_scsi_bad_req	1	NONE	NONE	
fill_colmap	4	NONE	NONE	
qxl_create_memslots	3	NONE	NONE	
ROUNDED_DIV	5	NONE	NONE	
SPAPR_DR_CONNECTOR_GET_CLASS	5	NONE	NONE	
object_child_foreach	5	NONE	NONE	
av_log2	25	NONE	NONE	
SE_16BIT	4	NONE	NONE	
do_semctl	1	NONE	NONE	
qemu_coroutine_create	13	NONE	NONE	
gen_mov_vreg_F0	11	NONE	NONE	
qemu_opt_get_del	7	NONE	NONE	
qdict_next	6	NONE	NONE	
spr_register	22	NONE	NONE	
roundToInt16	12	NONE	NONE	
ff_put_pixels_clamped	1	NONE	NONE	
gen_helper_float_cvts_pu	2	NONE	NONE	
mxf_write_generic_desc	1	NONE	NONE	
compute_all	3	NONE	NONE	
qdev_get_gpio_in_named	1	NONE	NONE	
get_user_u64	4	NONE	MEMORY_COPY	bounded copy across the user boundary
av_clip_pixel	4	NONE	NONE	
ff_h264_init_poc	1	NONE	NONE	
put_v	2	NONE	NONE	
cpu_exec_end	1	NONE	NONE	
OMAP_RO_REG	3	NONE	NONE	
GIC_GET_PRIORITY	1	NONE	NONE	
qtest_startf	1	NONE	NONE	
trace_spapr_cas_failed	2	NONE	NONE	
QTAILQ_FOREACH_SAFE	11	NONE	NONE	
gen_op_set_inhibit_irq	3	NONE	NONE	
ROUND256_0_TO_15	8	NONE	NONE	
h264_luma_dc_dequant_idct	1	NONE	NONE	
envelope16	1	NONE	NONE	
gen_helper_neon_shl_s64	3	NONE	NONE	
CHROMA422	5	NONE	NONE	
PCI_SLOT	4	NONE	NONE	
AV_RB32	46	NONE	NONE	
array_get_next	3	NONE	NONE	
av_get_sample_fmt_name	8	NONE	NONE	
visit_next_list	4	NONE	NONE	
tswapid	2	NONE	NONE	
gen_aa32_ld8u	6	NONE	NONE	
analyze	3	NONE	NONE	
asprintf	2	NONE	NONE	
tcg_gen_ext8s_tl	15	NONE	NONE	
DB_PRINT_L	10	NONE	IO_CALL	logging macro
pack16to32	7	NONE	NONE	
qemu_fflush	4	NONE	IO_CALL	flushes a stream
DEVICE_CLASS	19	NONE	NONE	
cpu_tick_get_count	1	NONE	NONE	
STORE_4VECS_UB	1	NONE	NONE	
gen_inval_exception	12	NONE	NONE	
tcg_gen_brcondi_tl	30	NONE	NONE	
gen_store_fpr32h	8	NONE	NONE	
GET_FIELD	5	NONE	NONE	
qed_read_backing_file	1	NONE	NONE	
get_system_io	8	NONE	NONE	
gen_helper_float_cvtpw_ps	2	NONE	NONE	
qemu_iovec_add	10	NONE	NONE	
build_piix4_isa_bridge	2	NONE	NONE	
qemu_mutex_lock_iothread	8	NONE	NONE	
store_reg_bx	24	NONE	NONE	
bdrv_pread	36	NONE	IO_CALL	block-device positioned read
qint_get_int	5	NONE	NONE	
OMAP_BAD_REG	5	NONE	NONE	
stq_p	8	NONE	NONE	
ff_vp9dsp_init_x86	1	NONE	NONE	
av_strlcat	10	STRING_CONCAT	STRING_CONCAT	
strcat	6	STRING_CONCAT	STRING_CONCAT	
strncat	4	STRING_CONCAT	STRING_CONCAT	
g_strlcat	1	STRING_CONCAT	STRING_CONCAT	
strcpy	13	STRING_COPY	STRING_COPY	
av_strlcpy	12	STRING_COPY	STRING_COPY	
strncpy	10	STRING_COPY	STRING_COPY	
strdup	10	STRING_COPY	STRING_COPY	
g_strlcpy	6	STRING_COPY	STRING_COPY	
fprintf	462	STRING_FORMAT	IO_CALL	
printf	193	STRING_FORMAT	IO_CALL	
snprintf	163	STRING_FORMAT	STRING_FORMAT	
sscanf	44	STRING_FORMAT	STRING_FORMAT	
sprintf	11	STRING_FORMAT	STRING_FORMAT	
scanf	5	STRING_FORMAT	STRING_FORMAT	
vsnprintf	3	STRING_FORMAT	STRING_FORMAT	
fscanf	3	STRING_FORMAT	STRING_FORMAT	
v9fs_string_sprintf	1	STRING_FORMAT	STRING_FORMAT	writes into a caller string
strlen	137	STRING_LENGTH	STRING_LENGTH	
target_strlen	2	STRING_LENGTH	STRING_LENGTH	length of a target string
